"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.021061","0.021061","50815","3478","UDP","148"
"0.005381","0.005381","3478","50815","RTCP","110"
"0.005957","0.005957","50815","3478","UDP","922"
"0.032523","0.032523","50815","3478","UDP","147"
"0.000000","0.000000","50815","3478","UDP","147"
"0.001649","0.001649","50815","3478","UDP","628"
"0.010031","0.010031","3478","50815","RTCP","110"
"0.007675","0.007675","50815","3478","UDP","154"
"0.013636","0.013636","50815","3478","UDP","1106"
"0.001789","0.001789","50815","3478","UDP","149"
"0.022528","0.022528","50815","3478","UDP","150"
"0.004432","0.004432","3478","50815","RTCP","110"
"0.006715","0.006715","50815","3478","UDP","844"
"0.011493","0.011493","50815","3478","UDP","152"
"0.016011","0.016011","50815","3478","UDP","151"
"0.005620","0.005620","50815","3478","UDP","1226"
"0.010266","0.010266","3478","50815","RTCP","110"
"0.004059","0.004059","50815","3478","UDP","153"
"0.017154","0.017154","50815","3478","UDP","564"
"0.002820","0.002820","50815","3478","UDP","151"
"0.023950","0.023950","50815","3478","UDP","152"
"0.001933","0.001933","3478","50815","RTCP","110"
"0.003925","0.003925","50815","3478","UDP","979"
"0.010589","0.010589","3478","50815","RTCP","186"
"0.000350","0.000350","50815","3478","UDP","147"
"0.019706","0.019706","50815","3478","UDP","158"
"0.006047","0.006047","50815","3478","UDP","613"
"0.010446","0.010446","3478","50815","RTCP","110"
"0.003054","0.003054","50815","3478","UDP","152"
"0.017632","0.017632","50815","3478","UDP","888"
"0.002178","0.002178","50815","3478","UDP","154"
"0.020500","0.020500","50815","3478","UDP","87"
"0.005529","0.005529","3478","50815","RTCP","110"
"0.006440","0.006440","50815","3478","UDP","728"
"0.000000","0.000000","50815","3478","STUN","166"
"0.028342","0.028342","3478","50815","STUN","106"
"0.005658","0.005658","50815","3478","UDP","977"
"0.009594","0.009594","3478","50815","RTCP","110"
"0.033963","0.033963","50815","3478","UDP","646"
"0.016349","0.016349","3478","50815","RTCP","106"
"0.006324","0.006324","50815","3478","UDP","961"
"0.033392","0.033392","50815","3478","UDP","647"
"0.010169","0.010169","3478","50815","RTCP","106"
"0.021697","0.021697","50815","3478","UDP","856"
"0.022210","0.022210","50815","3478","UDP","170"
"0.006153","0.006153","3478","50815","RTCP","106"
"0.008192","0.008192","50815","3478","UDP","614"
"0.005810","0.005810","50815","3478","UDP","150"
"0.020933","0.020933","50815","3478","UDP","150"
"0.004868","0.004868","50815","3478","UDP","815"
"0.010379","0.010379","3478","50815","RTCP","110"
"0.003563","0.003563","50815","3478","UDP","151"
"0.016431","0.016431","50815","3478","UDP","555"
"0.003348","0.003348","50815","3478","UDP","150"
"0.024506","0.024506","50815","3478","UDP","150"
"0.002160","0.002160","3478","50815","RTCP","110"
"0.003442","0.003442","","","STP","60"
"0.034646","0.034646","50815","3478","UDP","923"
"0.000000","0.000000","50815","3478","UDP","147"
"0.000000","0.000000","50815","3478","UDP","150"
"0.006664","0.006664","50815","3478","UDP","518"
"0.005373","0.005373","3478","50815","RTCP","106"
"0.003446","0.003446","50815","3478","UDP","149"
"0.017777","0.017777","50815","3478","UDP","964"
"0.002100","0.002100","50815","3478","UDP","147"
"0.021033","0.021033","50815","3478","UDP","149"
"0.005563","0.005563","3478","50815","RTCP","114"
"0.002004","0.002004","50815","3478","RTCP","142"
"0.003656","0.003656","50815","3478","UDP","1083"
"0.009760","0.009760","50815","3478","UDP","87"
"0.024079","0.024079","50815","3478","UDP","1018"
"0.010684","0.010684","3478","50815","RTCP","110"
"0.020505","0.020505","50815","3478","UDP","474"
"0.029508","0.029508","3478","50815","RTCP","106"
"0.004404","0.004404","50815","3478","UDP","1206"
"0.000620","0.000620","50198","443","SSL","188"
"0.030507","0.030507","443","50198","SSL","132"
"0.001856","0.001856","50198","443","TCP","66"
"0.004179","0.004179","50815","3478","UDP","758"
"0.008711","0.008711","3478","50815","RTCP","106"
"0.020157","0.020157","50815","3478","UDP","943"
"0.029637","0.029637","3478","50815","RTCP","106"
"0.003903","0.003903","50815","3478","UDP","730"
"0.036944","0.036944","50815","3478","UDP","1088"
"0.009427","0.009427","3478","50815","RTCP","106"
"0.003768","0.003768","50815","3478","UDP","152"
"0.016208","0.016208","50815","3478","UDP","651"
"0.001948","0.001948","50815","3478","UDP","153"
"0.021036","0.021036","50815","3478","UDP","153"
"0.006992","0.006992","3478","50815","RTCP","110"
"0.004718","0.004718","50815","3478","UDP","979"
"0.011521","0.011521","50815","3478","UDP","149"
"0.017405","0.017405","50815","3478","UDP","155"
"0.005773","0.005773","50815","3478","UDP","845"
"0.010598","0.010598","3478","50815","RTCP","110"
"0.003524","0.003524","50815","3478","UDP","153"
"0.018340","0.018340","50815","3478","UDP","1187"
"0.002356","0.002356","50815","3478","UDP","157"
"0.020070","0.020070","50815","3478","UDP","151"
"0.005693","0.005693","3478","50815","RTCP","110"
"0.006101","0.006101","50815","3478","UDP","595"
"0.008236","0.008236","50815","3478","UDP","155"
"0.021527","0.021527","50815","3478","UDP","158"
"0.006626","0.006626","50815","3478","UDP","962"
"0.008154","0.008154","3478","50815","RTCP","110"
"0.002874","0.002874","50815","3478","UDP","159"
"0.017833","0.017833","50815","3478","UDP","800"
"0.001608","0.001608","50815","3478","UDP","154"
"0.021514","0.021514","50815","3478","UDP","152"
"0.005803","0.005803","3478","50815","RTCP","110"
"0.005176","0.005176","50815","3478","UDP","926"
"0.008902","0.008902","3478","50815","RTCP","186"
"0.026492","0.026492","50815","3478","UDP","146"
"0.000000","0.000000","50815","3478","UDP","148"
"0.001183","0.001183","50815","3478","UDP","1138"
"0.008477","0.008477","3478","50815","RTCP","106"
"0.001978","0.001978","50815","3478","UDP","154"
"0.003918","0.003918","50815","3478","RTCP","142"
"0.009757","0.009757","50815","3478","UDP","1166"
"0.004496","0.004496","50815","3478","UDP","87"
"0.029612","0.029612","3478","50815","RTCP","110"
"0.002888","0.002888","50815","3478","UDP","611"
"0.002261","0.002261","50815","3478","STUN","166"
"0.009399","0.009399","63607","53","DNS","81"
"0.015182","0.015182","3478","50815","STUN","106"
"0.009074","0.009074","50815","3478","UDP","1130"
"0.011212","0.011212","3478","50815","RTCP","106"
"0.015858","0.015858","50815","3478","UDP","766"
"0.000071","0.000071","49897","53","DNS","89"
"0.000054","0.000054","65525","53","DNS","89"
"0.003979","0.003979","52488","443","TCP","78"
"0.001853","0.001853","50815","3478","UDP","152"
"0.018420","0.018420","50815","3478","UDP","158"
"0.003858","0.003858","50815","3478","UDP","1232"
"0.006063","0.006063","3478","50815","RTCP","106"
"0.012851","0.012851","50815","3478","UDP","148"
"0.006025","0.006025","52489","443","TCP","78"
"0.004477","0.004477","53","63607","DNS","265"
"0.011148","0.011148","50815","3478","UDP","151"
"0.005729","0.005729","50815","3478","UDP","735"
"0.009885","0.009885","3478","50815","RTCP","110"
"0.003609","0.003609","50815","3478","UDP","153"
"0.016371","0.016371","50815","3478","UDP","1076"
"0.001714","0.001714","50815","3478","UDP","144"
"0.005613","0.005613","53","49897","DNS","170"
"0.017321","0.017321","50815","3478","UDP","168"
"0.006037","0.006037","3478","50815","RTCP","110"
"0.001617","0.001617","443","52489","TCP","74"
"0.001934","0.001934","50815","3478","UDP","1094"
"0.000751","0.000751","52489","443","TCP","66"
"0.000185","0.000185","52489","443","TLSv1.3","583"
"0.032526","0.032526","50815","3478","UDP","151"
"0.000000","0.000000","50815","3478","UDP","154"
"0.000317","0.000317","50815","3478","UDP","690"
"0.000000","0.000000","50815","3478","UDP","690"
"0.012152","0.012152","3478","50815","RTCP","110"
"0.002730","0.002730","50815","3478","UDP","152"
"0.003644","0.003644","53","65525","DNS","290"
"0.000744","0.000744","443","52488","TCP","74"
"0.002790","0.002790","52488","443","TCP","66"
"0.000071","0.000071","52488","443","TLSv1.3","583"
"0.009305","0.009305","50815","3478","UDP","723"
"0.004433","0.004433","50815","3478","UDP","154"
"0.020944","0.020944","50815","3478","UDP","153"
"0.003487","0.003487","443","52489","TCP","66"
"0.001838","0.001838","3478","50815","RTCP","110"
"0.000525","0.000525","443","52489","TLSv1.3","1494"
"0.000142","0.000142","443","52489","TCP","1494"
"0.000061","0.000061","443","52489","TCP","1494"
"0.001447","0.001447","443","52489","TLSv1.3","1295"
"0.001569","0.001569","50815","3478","UDP","772"
"0.000076","0.000076","50815","3478","UDP","772"
"0.003620","0.003620","52489","443","TCP","66"
"0.004385","0.004385","50815","3478","UDP","149"
"0.011362","0.011362","52489","443","TLSv1.3","130"
"0.002041","0.002041","52489","443","TCP","1494"
"0.000000","0.000000","52489","443","TLSv1.3","91"
"0.008988","0.008988","50815","3478","UDP","148"
"0.005068","0.005068","50815","3478","UDP","890"
"0.011114","0.011114","3478","50815","RTCP","110"
"0.002222","0.002222","50815","3478","UDP","145"
"0.019213","0.019213","50815","3478","UDP","1169"
"0.000456","0.000456","50815","3478","UDP","146"
"0.020240","0.020240","443","52489","TCP","66"
"0.000103","0.000103","443","52489","TLSv1.3","212"
"0.000000","0.000000","443","52489","TLSv1.3","128"
"0.000365","0.000365","50815","3478","UDP","148"
"0.002113","0.002113","52489","443","TCP","66"
"0.001076","0.001076","52489","443","TLSv1.3","97"
"0.004137","0.004137","3478","50815","RTCP","110"
"0.004083","0.004083","50815","3478","UDP","758"
"0.001970","0.001970","443","52489","TCP","66"
"0.000284","0.000284","443","52489","TLSv1.3","97"
"0.002027","0.002027","52489","443","TCP","66"
"0.003770","0.003770","50815","3478","UDP","152"
"0.021782","0.021782","50815","3478","UDP","153"
"0.003499","0.003499","443","52489","TCP","1494"
"0.000151","0.000151","443","52489","TCP","1494"
"0.000213","0.000213","443","52489","TCP","1494"
"0.000352","0.000352","443","52489","TCP","1494"
"0.002026","0.002026","443","52489","TCP","1494"
"0.000344","0.000344","443","52489","TCP","1494"
"0.002022","0.002022","50815","3478","UDP","1117"
"0.000000","0.000000","52489","443","TCP","66"
"0.000417","0.000417","443","52489","TCP","1494"
"0.000420","0.000420","443","52489","TCP","1494"
"0.000000","0.000000","52489","443","TCP","66"
"0.000885","0.000885","52489","443","TCP","66"
"0.000940","0.000940","52489","443","TCP","66"
"0.000061","0.000061","52489","443","TCP","66"
"0.000493","0.000493","443","52489","TCP","1494"
"0.000329","0.000329","443","52489","TCP","1494"
"0.001779","0.001779","52489","443","TCP","66"
"0.000472","0.000472","443","52489","TCP","1494"
"0.000349","0.000349","443","52489","TLSv1.3","1494"
"0.000573","0.000573","52489","443","TCP","66"
"0.000925","0.000925","3478","50815","RTCP","110"
"0.000153","0.000153","52489","443","TCP","66"
"0.000550","0.000550","443","52489","TCP","1494"
"0.000325","0.000325","443","52489","TCP","1494"
"0.000000","0.000000","52489","443","TCP","66"
"0.001209","0.001209","50815","3478","UDP","149"
"0.000067","0.000067","52489","443","TCP","66"
"0.001120","0.001120","443","52489","TCP","1494"
"0.000324","0.000324","443","52489","TCP","1494"
"0.000000","0.000000","52489","443","TCP","66"
"0.002525","0.002525","443","52489","TCP","1494"
"0.000324","0.000324","443","52489","TCP","1494"
"0.002058","0.002058","443","52489","TCP","1494"
"0.000350","0.000350","443","52489","TCP","1494"
"0.002550","0.002550","443","52489","TCP","1494"
"0.000359","0.000359","443","52489","TCP","1494"
"0.000258","0.000258","52489","443","TCP","66"
"0.001077","0.001077","52489","443","TCP","66"
"0.001109","0.001109","443","52489","TLSv1.3","1494"
"0.000000","0.000000","52489","443","TCP","66"
"0.000000","0.000000","52489","443","TCP","66"
"0.000350","0.000350","443","52489","TCP","1494"
"0.002281","0.002281","443","52489","TCP","1494"
"0.000000","0.000000","52489","443","TCP","66"
"0.000048","0.000048","443","52489","TCP","1494"
"0.001667","0.001667","52489","443","TCP","66"
"0.001029","0.001029","52489","443","TCP","66"
"0.001761","0.001761","50815","3478","UDP","778"
"0.000330","0.000330","50815","3478","UDP","148"
"0.002247","0.002247","443","52488","TCP","66"
