"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","49303","443","TLSv1.3","603"
"0.133654","0.133654","443","49303","TCP","86"
"0.001406","0.001406","443","49303","TLSv1.3","1294"
"0.000425","0.000425","443","49303","TCP","1294"
"0.000376","0.000376","443","49303","TCP","1294"
"0.000377","0.000377","443","49303","TCP","1294"
"0.000079","0.000079","443","49303","TLSv1.3","455"
"0.002327","0.002327","49303","443","TCP","86"
"0.000000","0.000000","49303","443","TCP","86"
"0.000759","0.000759","49303","443","TCP","86"
"0.000000","0.000000","49303","443","TCP","86"
"0.001582","0.001582","49303","443","TLSv1.3","150"
"0.121540","0.121540","443","49303","TCP","86"
"0.504001","0.504001","49302","443","TLSv1.3","603"
"0.117053","0.117053","443","49302","TCP","86"
"0.002258","0.002258","443","49302","TLSv1.3","1294"
"0.000475","0.000475","443","49302","TCP","1294"
"0.000081","0.000081","443","49302","TCP","1294"
"0.000099","0.000099","443","49302","TCP","1294"
"0.000046","0.000046","443","49302","TLSv1.3","455"
"0.002027","0.002027","49302","443","TCP","86"
"0.000000","0.000000","49302","443","TCP","86"
"0.000000","0.000000","49302","443","TCP","86"
"0.001160","0.001160","49302","443","TCP","86"
"0.004100","0.004100","49302","443","TLSv1.3","150"
"0.124586","0.124586","443","49302","TCP","86"
"0.658752","0.658752","","","ICMPv6","86"
"1.175227","1.175227","58766","443","TCP","78"
"0.037373","0.037373","58767","443","TCP","78"
"0.035156","0.035156","443","58767","TCP","74"
"0.002840","0.002840","58767","443","TCP","66"
"0.000186","0.000186","58767","443","TLSv1.3","583"
"0.002767","0.002767","58768","443","TCP","78"
"0.011445","0.011445","58769","443","TCP","78"
"0.017998","0.017998","443","58766","TCP","66"
"0.001772","0.001772","443","58767","TCP","66"
"0.001462","0.001462","443","58767","TLSv1.3","1494"
"0.000059","0.000059","58766","443","TLSv1.3","571"
"0.000000","0.000000","58766","443","TCP","60"
"0.000342","0.000342","443","58767","TCP","1494"
"0.000349","0.000349","443","58767","TCP","1494"
"0.000751","0.000751","443","58767","TLSv1.3","1494"
"0.000000","0.000000","443","58767","TLSv1.3","353"
"0.002637","0.002637","58767","443","TCP","66"
"0.001609","0.001609","58767","443","TCP","66"
"0.002759","0.002759","58767","443","TLSv1.3","130"
"0.001633","0.001633","58767","443","TCP","1494"
"0.000085","0.000085","58767","443","TCP","686"
"0.000000","0.000000","58767","443","TLSv1.3","394"
"0.000079","0.000079","58767","443","TLSv1.3","573"
"0.027258","0.027258","443","58767","TCP","66"
"0.000000","0.000000","443","58767","TLSv1.3","212"
"0.002406","0.002406","58767","443","TCP","66"
"0.006313","0.006313","443","58767","TCP","66"
"0.001096","0.001096","443","58767","TCP","66"
"0.062281","0.062281","443","58766","TCP","60"
"0.002247","0.002247","443","58766","TLSv1.3","1514"
"0.000104","0.000104","443","58766","TCP","1514"
"0.000074","0.000074","443","58766","TLSv1.3","787"
"0.002510","0.002510","58766","443","TCP","60"
"0.000894","0.000894","58766","443","TCP","60"
"0.003354","0.003354","58766","443","TLSv1.3","134"
"0.001125","0.001125","58766","443","TLSv1.3","327"
"0.009584","0.009584","443","58767","TLSv1.3","682"
"0.002191","0.002191","58767","443","TCP","66"
"0.003965","0.003965","443","58769","TCP","60"
"0.002791","0.002791","58769","443","TLSv1.3","571"
"0.000000","0.000000","58769","443","TCP","60"
"0.021947","0.021947","443","58768","TCP","74"
"0.002595","0.002595","58768","443","TCP","66"
"0.000185","0.000185","58768","443","TLSv1.3","583"
"0.065781","0.065781","443","58766","TCP","60"
"0.000000","0.000000","443","58766","TCP","60"
"0.000452","0.000452","443","58766","TLSv1.3","357"
"0.002603","0.002603","58766","443","TCP","60"
"0.037468","0.037468","58770","443","TCP","78"
"0.021488","0.021488","443","58770","TCP","74"
"0.003991","0.003991","58770","443","TCP","66"
"0.000185","0.000185","58770","443","TLSv1.3","583"
"0.000372","0.000372","443","58769","TCP","60"
"0.000500","0.000500","443","58769","TCP","60"
"0.002200","0.002200","443","58769","TLSv1.3","1514"
"0.000375","0.000375","443","58769","TCP","1514"
"0.000078","0.000078","443","58769","TLSv1.3","787"
"0.002547","0.002547","58769","443","TCP","60"
"0.000894","0.000894","58769","443","TCP","60"
"0.006638","0.006638","58769","443","TLSv1.3","134"
"0.000100","0.000100","58769","443","TLSv1.3","472"
"0.000366","0.000366","58769","443","TCP","1514"
"0.000000","0.000000","58769","443","TCP","642"
"0.000092","0.000092","58769","443","TLSv1.3","474"
"0.000000","0.000000","58769","443","TLSv1.3","564"
"0.020725","0.020725","443","58766","TLSv1.3","554"
"0.002836","0.002836","58766","443","TCP","60"
"0.001080","0.001080","58766","443","TLSv1.3","85"
"0.004603","0.004603","443","58770","TCP","66"
"0.001916","0.001916","443","58770","TLSv1.3","1494"
"0.001048","0.001048","443","58770","TCP","1494"
"0.001353","0.001353","443","58770","TCP","1494"
"0.000077","0.000077","443","58770","TLSv1.3","1494"
"0.000052","0.000052","443","58770","TLSv1.3","330"
"0.003284","0.003284","58770","443","TCP","66"
"0.001787","0.001787","58770","443","TCP","66"
"0.006411","0.006411","58770","443","TLSv1.3","130"
"0.000451","0.000451","58770","443","TLSv1.3","316"
"0.010523","0.010523","443","58768","TCP","66"
"0.001223","0.001223","443","58768","TLSv1.3","1514"
"0.001500","0.001500","443","58768","TCP","1514"
"0.000727","0.000727","443","58768","TCP","1514"
"0.000266","0.000266","58768","443","TCP","66"
"0.000671","0.000671","58768","443","TCP","66"
"0.001654","0.001654","58768","443","TCP","66"
"0.002040","0.002040","443","58768","TLSv1.3","1263"
"0.002968","0.002968","58768","443","TCP","66"
"0.007140","0.007140","58768","443","TLSv1.3","130"
"0.001216","0.001216","58768","443","TLSv1.3","377"
"0.000000","0.000000","58768","443","TLSv1.3","158"
"0.027451","0.027451","443","58770","TCP","330"
"0.002462","0.002462","58770","443","TCP","78"
"0.007265","0.007265","443","58766","TCP","60"
"0.018445","0.018445","443","58770","TLSv1.3","212"
"0.000282","0.000282","443","58770","TLSv1.3","137"
"0.000955","0.000955","443","58770","TLSv1.3","436"
"0.003628","0.003628","58770","443","TCP","66"
"0.000366","0.000366","58770","443","TLSv1.3","97"
"0.001612","0.001612","58770","443","TLSv1.3","105"
"0.001605","0.001605","58770","443","TLSv1.3","90"
"0.001067","0.001067","58770","443","TCP","66"
"0.026600","0.026600","443","58769","TCP","60"
"0.000076","0.000076","443","58769","TLSv1.3","357"
"0.000000","0.000000","443","58769","TCP","60"
"0.002647","0.002647","58769","443","TCP","60"
"0.006705","0.006705","443","58770","TCP","66"
"0.001451","0.001451","443","58770","TCP","66"
"0.003112","0.003112","58770","443","TCP","66"
"0.123977","0.123977","443","58768","TLSv1.3","212"
"0.000087","0.000087","443","58768","TLSv1.3","137"
"0.003783","0.003783","58768","443","TCP","66"
"0.001093","0.001093","58768","443","TLSv1.3","97"
"0.007778","0.007778","443","58769","TLSv1.3","724"
"0.002714","0.002714","58769","443","TCP","60"
"0.001485","0.001485","58769","443","TLSv1.3","85"
"0.014216","0.014216","443","58768","TLSv1.3","490"
"0.000000","0.000000","443","58768","TLSv1.3","97"
"0.004014","0.004014","58768","443","TCP","66"
"0.124730","0.124730","58771","443","TCP","78"
"0.059827","0.059827","443","58769","TCP","60"
"0.029359","0.029359","443","58768","TCP","66"
"0.114327","0.114327","443","58771","TCP","74"
"0.005446","0.005446","58771","443","TCP","66"
"0.000179","0.000179","58771","443","TLSv1.3","583"
"0.179151","0.179151","443","58771","TCP","66"
"0.001496","0.001496","443","58771","TLSv1.3","1514"
"0.000843","0.000843","443","58771","TCP","1514"
"0.000352","0.000352","443","58771","TCP","1514"
"0.000258","0.000258","443","58771","TLSv1.3","1263"
"0.010339","0.010339","58771","443","TCP","66"
"0.016785","0.016785","58771","443","TLSv1.3","130"
"0.001623","0.001623","58771","443","TLSv1.3","354"
"0.177615","0.177615","443","58771","TLSv1.3","212"
"0.000079","0.000079","443","58771","TLSv1.3","137"
"0.005744","0.005744","58771","443","TCP","66"
"0.000901","0.000901","58771","443","TLSv1.3","97"
"0.137448","0.137448","443","58771","TLSv1.3","1460"
"0.000000","0.000000","443","58771","TLSv1.3","97"
"0.002993","0.002993","58771","443","TCP","66"
"0.063837","0.063837","58767","443","TCP","1494"
"0.000077","0.000077","58767","443","TCP","686"
"0.000000","0.000000","58767","443","TLSv1.3","394"
"0.000063","0.000063","58767","443","TLSv1.3","573"
"0.015433","0.015433","58772","443","TCP","78"
"0.010575","0.010575","443","58771","TCP","66"
"0.005677","0.005677","443","58767","TCP","66"
"0.000476","0.000476","443","58767","TCP","66"
