"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.002472","0.002472","3478","62280","RTCP","110"
"0.000836","0.000836","62280","3478","UDP","847"
"0.016067","0.016067","62280","3478","UDP","141"
"0.016310","0.016310","62280","3478","UDP","794"
"0.004057","0.004057","62280","3478","UDP","169"
"0.013466","0.013466","3478","62280","RTCP","110"
"0.004936","0.004936","62280","3478","RTCP","106"
"0.001024","0.001024","62280","3478","UDP","149"
"0.011942","0.011942","62280","3478","UDP","976"
"0.006320","0.006320","62280","3478","RTCP","142"
"0.002604","0.002604","62280","3478","UDP","150"
"0.023146","0.023146","62280","3478","UDP","145"
"0.000000","0.000000","3478","62280","RTCP","110"
"0.000283","0.000283","62280","3478","UDP","403"
"0.015883","0.015883","62280","3478","UDP","149"
"0.016559","0.016559","62280","3478","UDP","749"
"0.003315","0.003315","62280","3478","UDP","151"
"0.013457","0.013457","3478","62280","RTCP","110"
"0.006571","0.006571","62280","3478","UDP","151"
"0.003495","0.003495","62280","3478","STUN","166"
"0.007663","0.007663","62280","3478","UDP","866"
"0.025169","0.025169","3478","62280","STUN","106"
"0.008112","0.008112","3478","62280","RTCP","110"
"0.001164","0.001164","62280","3478","UDP","156"
"0.000000","0.000000","62280","3478","UDP","153"
"0.000236","0.000236","62280","3478","UDP","960"
"0.014643","0.014643","62280","3478","UDP","151"
"0.023931","0.023931","62280","3478","UDP","710"
"0.000000","0.000000","62280","3478","UDP","156"
"0.009501","0.009501","3478","62280","RTCP","110"
"0.006573","0.006573","62280","3478","UDP","153"
"0.013955","0.013955","62280","3478","UDP","834"
"0.005756","0.005756","62280","3478","UDP","145"
"0.020381","0.020381","62280","3478","UDP","150"
"0.002274","0.002274","62280","3478","UDP","575"
"0.002106","0.002106","3478","62280","RTCP","110"
"0.009937","0.009937","50220","443","TCP","591"
"0.005225","0.005225","62280","3478","UDP","145"
"0.016887","0.016887","62280","3478","UDP","929"
"0.002918","0.002918","62280","3478","UDP","152"
"0.011935","0.011935","443","50220","TCP","66"
"0.001934","0.001934","3478","62280","RTCP","110"
"0.004372","0.004372","50220","443","TLSv1.2","601"
"0.002503","0.002503","62280","3478","UDP","157"
"0.009350","0.009350","62280","3478","UDP","642"
"0.009938","0.009938","62280","3478","UDP","151"
"0.009713","0.009713","443","50220","TCP","66"
"0.012086","0.012086","62280","3478","UDP","150"
"0.001934","0.001934","3478","62280","RTCP","110"
"0.000356","0.000356","62280","3478","UDP","1005"
"0.016135","0.016135","62280","3478","UDP","155"
"0.015992","0.015992","62280","3478","UDP","612"
"0.003860","0.003860","62280","3478","UDP","153"
"0.013682","0.013682","3478","62280","RTCP","110"
"0.007073","0.007073","62280","3478","UDP","148"
"0.010924","0.010924","62280","3478","UDP","775"
"0.031957","0.031957","3478","62280","RTCP","110"
"0.001929","0.001929","62280","3478","UDP","148"
"0.000000","0.000000","62280","3478","UDP","155"
"0.000170","0.000170","62280","3478","UDP","609"
"0.000000","0.000000","62280","3478","RTCP","142"
"0.014275","0.014275","62280","3478","UDP","146"
"0.017392","0.017392","62280","3478","UDP","872"
"0.002945","0.002945","62280","3478","UDP","149"
"0.013308","0.013308","3478","62280","RTCP","110"
"0.000197","0.000197","","","STP","60"
"0.006158","0.006158","62280","3478","UDP","148"
"0.010372","0.010372","62280","3478","UDP","942"
"0.010453","0.010453","62280","3478","UDP","150"
"0.004509","0.004509","62280","3478","RTCP","106"
"0.007601","0.007601","443","50220","TLSv1.2","149"
"0.000000","0.000000","443","50220","TLSv1.2","102"
"0.001986","0.001986","50220","443","TCP","66"
"0.000263","0.000263","443","50220","TLSv1.2","118"
"0.001727","0.001727","50220","443","TCP","66"
"0.000908","0.000908","50220","443","TLSv1.2","118"
"0.002633","0.002633","62280","3478","UDP","155"
"0.003250","0.003250","3478","62280","RTCP","110"
"0.002496","0.002496","62280","3478","UDP","1209"
"0.011203","0.011203","443","50220","TCP","66"
"0.002743","0.002743","62280","3478","UDP","145"
"0.016518","0.016518","62280","3478","UDP","801"
"0.003213","0.003213","62280","3478","UDP","150"
"0.014042","0.014042","3478","62280","RTCP","110"
"0.011344","0.011344","62280","3478","UDP","144"
"0.000000","0.000000","50224","19305","STUN","188"
"0.006511","0.006511","62280","3478","UDP","856"
"0.010744","0.010744","62280","3478","UDP","150"
"0.010244","0.010244","19305","50224","TCP","68"
"0.000000","0.000000","19305","50224","STUN","130"
"0.004525","0.004525","50224","19305","TCP","66"
"0.000000","0.000000","50224","19305","TCP","66"
"0.003194","0.003194","62280","3478","UDP","153"
"0.003556","0.003556","3478","62280","RTCP","110"
"0.000819","0.000819","62280","3478","UDP","802"
"0.015163","0.015163","62280","3478","UDP","150"
"0.024495","0.024495","62280","3478","UDP","1169"
"0.000000","0.000000","62280","3478","UDP","144"
"0.009429","0.009429","3478","62280","RTCP","106"
"0.011182","0.011182","62280","3478","UDP","151"
"0.004751","0.004751","62280","3478","UDP","751"
"0.034089","0.034089","3478","62280","RTCP","110"
"0.002030","0.002030","62280","3478","UDP","154"
"0.000000","0.000000","62280","3478","UDP","151"
"0.000330","0.000330","62280","3478","UDP","1161"
"0.014359","0.014359","62280","3478","UDP","149"
"0.015715","0.015715","62280","3478","UDP","718"
"0.003544","0.003544","62280","3478","UDP","148"
"0.015197","0.015197","3478","62280","RTCP","110"
"0.004925","0.004925","62280","3478","UDP","147"
"0.012583","0.012583","62280","3478","UDP","680"
"0.000000","0.000000","62280","3478","UDP","680"
"0.022816","0.022816","62280","3478","UDP","151"
"0.005924","0.005924","62280","3478","UDP","150"
"0.002719","0.002719","3478","62280","RTCP","110"
"0.000651","0.000651","62280","3478","UDP","896"
"0.017056","0.017056","62280","3478","UDP","154"
"0.011343","0.011343","62280","3478","UDP","1056"
"0.007262","0.007262","62280","3478","UDP","149"
"0.013735","0.013735","3478","62280","RTCP","110"
"0.007570","0.007570","62280","3478","UDP","145"
"0.012372","0.012372","62280","3478","UDP","404"
"0.004471","0.004471","62280","3478","UDP","149"
"0.020171","0.020171","3478","62280","RTCP","186"
"0.002668","0.002668","62280","3478","UDP","146"
"0.001622","0.001622","62280","3478","UDP","774"
"0.001104","0.001104","58692","53","DNS","81"
"0.000039","0.000039","3478","62280","RTCP","110"
"0.016899","0.016899","62280","3478","UDP","145"
"0.012884","0.012884","62280","3478","UDP","713"
"0.006817","0.006817","62280","3478","UDP","157"
"0.013475","0.013475","3478","62280","RTCP","110"
"0.005722","0.005722","52695","443","TCP","78"
"0.000874","0.000874","62280","3478","UDP","151"
"0.004515","0.004515","62280","3478","UDP","883"
"0.039045","0.039045","3478","62280","RTCP","110"
"0.001180","0.001180","62280","3478","UDP","155"
"0.000000","0.000000","62280","3478","UDP","151"
"0.000161","0.000161","62280","3478","UDP","665"
"0.014547","0.014547","62280","3478","UDP","148"
"0.014430","0.014430","62280","3478","UDP","809"
"0.005010","0.005010","62280","3478","UDP","153"
"0.014685","0.014685","3478","62280","RTCP","110"
"0.005905","0.005905","62280","3478","UDP","152"
"0.008341","0.008341","62280","3478","UDP","671"
"0.000820","0.000820","62280","3478","STUN","166"
"0.000422","0.000422","53","58692","DNS","265"
"0.010310","0.010310","62280","3478","UDP","151"
"0.015526","0.015526","3478","62280","STUN","106"
"0.004614","0.004614","62280","3478","UDP","140"
"0.001930","0.001930","62280","3478","UDP","948"
"0.002438","0.002438","3478","62280","RTCP","110"
"0.014925","0.014925","62280","3478","UDP","147"
"0.017393","0.017393","443","52695","TCP","74"
"0.008544","0.008544","62280","3478","UDP","812"
"0.000000","0.000000","62280","3478","UDP","150"
"0.002388","0.002388","52695","443","TCP","66"
"0.000096","0.000096","52695","443","TLSv1.3","583"
"0.006572","0.006572","3478","62280","RTCP","110"
"0.005276","0.005276","62280","3478","UDP","149"
"0.011293","0.011293","62280","3478","UDP","1243"
"0.010098","0.010098","62280","3478","UDP","148"
"0.019273","0.019273","62280","3478","UDP","149"
"0.002635","0.002635","62280","3478","UDP","670"
"0.017652","0.017652","62280","3478","UDP","145"
"0.016563","0.016563","62280","3478","UDP","1008"
"0.002630","0.002630","62280","3478","UDP","146"
"0.014632","0.014632","3478","62280","RTCP","114"
"0.005919","0.005919","62280","3478","UDP","144"
