"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.000000","0.000000","","","ICMPv6","86"
"2.630708","2.630708","57365","443","QUIC","1292"
"0.000000","0.000000","57365","443","QUIC","141"
"0.000093","0.000093","57365","443","QUIC","784"
"0.000058","0.000058","57365","443","QUIC","1288"
"0.000050","0.000050","57365","443","QUIC","408"
"0.159734","0.159734","57365","443","QUIC","1292"
"0.045437","0.045437","443","57365","QUIC","1292"
"0.000526","0.000526","443","57365","QUIC","1292"
"0.002525","0.002525","443","57365","QUIC","1292"
"0.000425","0.000425","443","57365","QUIC","1292"
"0.000377","0.000377","443","57365","QUIC","749"
"0.002052","0.002052","57365","443","QUIC","1292"
"0.000000","0.000000","57365","443","QUIC","103"
"0.000701","0.000701","57365","443","QUIC","103"
"0.001621","0.001621","57365","443","QUIC","151"
"0.001919","0.001919","57365","443","QUIC","1292"
"0.000072","0.000072","57365","443","QUIC","1120"
"0.045957","0.045957","443","57365","QUIC","593"
"0.000000","0.000000","443","57365","QUIC","178"
"0.000000","0.000000","443","57365","QUIC","90"
"0.005015","0.005015","57365","443","QUIC","96"
"0.019324","0.019324","443","57365","QUIC","86"
"0.006783","0.006783","57365","443","QUIC","95"
"0.009217","0.009217","443","57365","QUIC","344"
"0.000000","0.000000","443","57365","QUIC","176"
"0.000000","0.000000","443","57365","QUIC","84"
"0.006346","0.006346","57365","443","QUIC","97"
"0.000000","0.000000","57365","443","QUIC","95"
"0.065316","0.065316","443","57365","QUIC","86"
"2.576119","2.576119","58777","443","TCP","78"
"0.049519","0.049519","58778","443","TCP","78"
"0.018578","0.018578","58779","443","TCP","78"
"0.010455","0.010455","443","58778","TCP","74"
"0.003406","0.003406","58778","443","TCP","66"
"0.000188","0.000188","58778","443","TLSv1.3","583"
"0.010812","0.010812","58780","443","TCP","78"
"0.000077","0.000077","443","58777","TCP","66"
"0.003873","0.003873","58777","443","TLSv1.3","571"
"0.000000","0.000000","58777","443","TCP","60"
"0.020760","0.020760","443","58778","TCP","66"
"0.001219","0.001219","443","58778","TLSv1.3","1494"
"0.001943","0.001943","443","58778","TCP","1494"
"0.000097","0.000097","443","58778","TCP","1494"
"0.000117","0.000117","443","58778","TLSv1.3","1494"
"0.000000","0.000000","443","58778","TLSv1.3","353"
"0.002070","0.002070","58778","443","TCP","66"
"0.001734","0.001734","58778","443","TCP","66"
"0.003462","0.003462","58778","443","TLSv1.3","130"
"0.001616","0.001616","58778","443","TCP","1494"
"0.000000","0.000000","58778","443","TCP","686"
"0.000043","0.000043","58778","443","TLSv1.3","394"
"0.000092","0.000092","58778","443","TLSv1.3","573"
"0.031831","0.031831","443","58778","TCP","66"
"0.000239","0.000239","443","58778","TLSv1.3","212"
"0.000235","0.000235","443","58778","TCP","66"
"0.000476","0.000476","443","58778","TCP","66"
"0.003163","0.003163","58778","443","TCP","66"
"0.027890","0.027890","443","58777","TCP","60"
"0.000429","0.000429","443","58777","TCP","60"
"0.002071","0.002071","443","58777","TLSv1.3","1514"
"0.000675","0.000675","443","58777","TCP","1514"
"0.000080","0.000080","443","58777","TLSv1.3","787"
"0.004210","0.004210","58777","443","TCP","60"
"0.000358","0.000358","58777","443","TCP","60"
