"Time","iRTT","port_source","port_dest","Protocol","Length"
"0.012764","0.012764","62280","3478","UDP","152"
"0.002077","0.002077","3478","62280","RTCP","186"
"0.019006","0.019006","62280","3478","UDP","158"
"0.004346","0.004346","62280","3478","UDP","887"
"0.003495","0.003495","3478","62280","RTCP","110"
"0.011813","0.011813","62280","3478","UDP","152"
"0.013903","0.013903","62280","3478","UDP","1241"
"0.006315","0.006315","62280","3478","UDP","153"
"0.018792","0.018792","3478","62280","RTCP","110"
"0.001261","0.001261","62280","3478","UDP","153"
"0.007511","0.007511","62280","3478","UDP","687"
"0.004461","0.004461","62280","3478","RTCP","106"
"0.007046","0.007046","62280","3478","UDP","152"
"0.020559","0.020559","62280","3478","UDP","155"
"0.001160","0.001160","62280","3478","UDP","873"
"0.007375","0.007375","3478","62280","RTCP","110"
"0.011629","0.011629","62280","3478","UDP","153"
"0.014171","0.014171","62280","3478","UDP","775"
"0.006351","0.006351","62280","3478","UDP","150"
"0.018010","0.018010","3478","62280","RTCP","110"
"0.025659","0.025659","62280","3478","UDP","150"
"0.000291","0.000291","62280","3478","UDP","1201"
"0.000000","0.000000","62280","3478","UDP","87"
"0.028289","0.028289","3478","62280","RTCP","110"
"0.000000","0.000000","62280","3478","UDP","682"
"0.020974","0.020974","62280","3478","UDP","962"
"0.001157","0.001157","62280","3478","STUN","166"
"0.024012","0.024012","3478","62280","RTCP","110"
"0.003905","0.003905","3478","62280","STUN","106"
"0.004268","0.004268","62280","3478","UDP","691"
"0.032977","0.032977","62280","3478","UDP","813"
"0.010237","0.010237","3478","62280","RTCP","106"
"0.022956","0.022956","62280","3478","UDP","459"
"0.026369","0.026369","3478","62280","RTCP","106"
"0.009882","0.009882","62280","3478","UDP","1084"
"0.032507","0.032507","62280","3478","UDP","944"
"0.006843","0.006843","3478","62280","RTCP","106"
"0.025449","0.025449","62280","3478","UDP","1011"
"0.024695","0.024695","3478","62280","RTCP","106"
"0.000000","0.000000","","","ARP","60"
"0.008122","0.008122","61547","1900","SSDP","179"
"0.023685","0.023685","62280","3478","UDP","860"
"0.000000","0.000000","","","ARP","60"
"0.009250","0.009250","62280","3478","UDP","865"
"0.009138","0.009138","3478","62280","RTCP","106"
"0.024093","0.024093","62280","3478","UDP","662"
"0.025826","0.025826","3478","62280","RTCP","106"
"0.000746","0.000746","62280","3478","UDP","161"
"0.007961","0.007961","62280","3478","UDP","1101"
"0.011557","0.011557","62280","3478","UDP","156"
"0.020202","0.020202","62280","3478","UDP","156"
"0.001919","0.001919","62280","3478","RTCP","142"
"0.000198","0.000198","62280","3478","UDP","703"
"0.007466","0.007466","3478","62280","RTCP","110"
"0.010473","0.010473","62280","3478","UDP","157"
"0.014485","0.014485","62280","3478","UDP","1121"
"0.001247","0.001247","","","0xfffa","60"
"0.000000","0.000000","","","0xfffa","60"
"0.000000","0.000000","","","0xfffa","60"
"0.000000","0.000000","","","0xfffa","60"
"0.000000","0.000000","","","0xfffa","60"
"0.004843","0.004843","62280","3478","UDP","171"
"0.018855","0.018855","3478","62280","RTCP","106"
"0.000980","0.000980","62280","3478","UDP","155"
"0.007153","0.007153","62280","3478","UDP","648"
"0.012629","0.012629","62280","3478","UDP","152"
"0.029333","0.029333","3478","62280","RTCP","110"
"0.002857","0.002857","62280","3478","UDP","553"
"0.000000","0.000000","62280","3478","UDP","152"
"0.017195","0.017195","62280","3478","UDP","156"
"0.014948","0.014948","62280","3478","UDP","825"
"0.000000","0.000000","62280","3478","UDP","151"
"0.015112","0.015112","3478","62280","RTCP","110"
"0.021476","0.021476","62280","3478","UDP","155"
"0.000169","0.000169","62280","3478","UDP","786"
"0.000065","0.000065","62280","3478","UDP","787"
"0.000019","0.000019","62280","3478","UDP","154"
"0.018917","0.018917","62280","3478","UDP","148"
"0.003980","0.003980","62280","3478","UDP","604"
"0.005665","0.005665","3478","62280","RTCP","110"
"0.009756","0.009756","62280","3478","UDP","154"
"0.014339","0.014339","62280","3478","UDP","936"
"0.005769","0.005769","62280","3478","UDP","150"
"0.019967","0.019967","62280","3478","UDP","149"
"0.000186","0.000186","3478","62280","RTCP","110"
"0.006636","0.006636","62280","3478","UDP","457"
"0.013471","0.013471","62280","3478","UDP","155"
"0.019665","0.019665","62280","3478","UDP","152"
"0.001102","0.001102","62280","3478","UDP","875"
"0.009065","0.009065","3478","62280","RTCP","110"
"0.009762","0.009762","62280","3478","UDP","155"
"0.013826","0.013826","62280","3478","UDP","986"
"0.006297","0.006297","62280","3478","UDP","152"
"0.020178","0.020178","62280","3478","UDP","156"
"0.000218","0.000218","3478","62280","RTCP","110"
"0.007746","0.007746","62280","3478","UDP","1081"
"0.011815","0.011815","62280","3478","UDP","87"
"0.004701","0.004701","3478","62280","RTCP","186"
"0.016832","0.016832","62280","3478","UDP","153"
"0.001223","0.001223","62280","3478","UDP","563"
"0.008023","0.008023","3478","62280","RTCP","110"
"0.009768","0.009768","62280","3478","UDP","151"
"0.014158","0.014158","62280","3478","UDP","1127"
"0.007363","0.007363","62280","3478","UDP","156"
"0.018358","0.018358","3478","62280","RTCP","110"
"0.020999","0.020999","62280","3478","UDP","154"
"0.000297","0.000297","62280","3478","UDP","1244"
"0.000000","0.000000","62280","3478","UDP","150"
"0.022265","0.022265","62280","3478","UDP","151"
"0.000341","0.000341","62280","3478","UDP","1242"
"0.006140","0.006140","3478","62280","RTCP","110"
"0.009520","0.009520","62280","3478","UDP","150"
"0.014009","0.014009","62280","3478","UDP","696"
"0.005660","0.005660","62280","3478","UDP","161"
"0.020882","0.020882","62280","3478","UDP","156"
"0.000083","0.000083","3478","62280","RTCP","110"
"0.009259","0.009259","62280","3478","UDP","913"
"0.007658","0.007658","62280","3478","UDP","151"
"0.033170","0.033170","3478","62280","RTCP","110"
"0.003347","0.003347","62280","3478","UDP","153"
"0.000094","0.000094","62280","3478","UDP","653"
"0.005645","0.005645","62280","3478","UDP","87"
"0.010055","0.010055","57222","53","DNS","81"
"0.000853","0.000853","62280","3478","UDP","1249"
"0.029939","0.029939","3478","62280","RTCP","110"
"0.006634","0.006634","62280","3478","UDP","800"
"0.018330","0.018330","52597","443","TCP","78"
"0.001050","0.001050","54113","53","DNS","84"
"0.000891","0.000891","62437","53","DNS","84"
"0.002503","0.002503","62280","3478","UDP","1064"
"0.009677","0.009677","62280","3478","UDP","147"
"0.010909","0.010909","3478","62280","RTCP","106"
"0.007379","0.007379","62280","3478","UDP","152"
"0.006837","0.006837","62280","3478","UDP","492"
"0.015126","0.015126","62280","3478","UDP","157"
"0.002433","0.002433","52598","443","TCP","78"
"0.013877","0.013877","53","62437","DNS","325"
"0.004400","0.004400","3478","62280","RTCP","110"
"0.009596","0.009596","53","57222","DNS","265"
"0.011097","0.011097","62280","3478","UDP","152"
"0.000291","0.000291","62280","3478","UDP","1080"
"0.000000","0.000000","62280","3478","UDP","151"
"0.011241","0.011241","62280","3478","RTCP","142"
"0.005652","0.005652","62280","3478","UDP","932"
"0.000906","0.000906","62280","3478","UDP","156"
"0.011516","0.011516","3478","62280","RTCP","106"
"0.007215","0.007215","53","54113","DNS","205"
"0.005337","0.005337","62280","3478","UDP","150"
"0.001270","0.001270","51163","53","DNS","89"
"0.007965","0.007965","62280","3478","RTCP","106"
"0.000179","0.000179","62280","3478","UDP","753"
"0.000279","0.000279","443","52598","TCP","74"
"0.000652","0.000652","62280","3478","UDP","753"
"0.001736","0.001736","52598","443","TCP","66"
"0.000185","0.000185","52598","443","TLSv1.3","583"
"0.004002","0.004002","62280","3478","UDP","155"
"0.012000","0.012000","52599","443","TCP","78"
"0.007926","0.007926","62280","3478","UDP","153"
"0.001239","0.001239","3478","62280","RTCP","110"
"0.005262","0.005262","62280","3478","UDP","883"
"0.005055","0.005055","443","52597","TCP","74"
"0.002560","0.002560","52597","443","TLSv1.3","583"
"0.000000","0.000000","52597","443","TCP","66"
"0.005779","0.005779","62280","3478","UDP","148"
"0.020098","0.020098","62280","3478","UDP","150"
"0.001224","0.001224","62280","3478","UDP","1060"
"0.009901","0.009901","3478","62280","RTCP","110"
"0.001916","0.001916","","","STP","60"
"0.008519","0.008519","62280","3478","UDP","148"
"0.004922","0.004922","443","52598","TCP","66"
"0.001218","0.001218","443","52598","TLSv1.3","1494"
"0.001628","0.001628","443","52598","TCP","1494"
"0.000000","0.000000","443","52598","TCP","1494"
"0.000179","0.000179","443","52598","TLSv1.3","1494"
"0.000000","0.000000","443","52598","TLSv1.3","346"
"0.001130","0.001130","52598","443","TCP","66"
"0.000784","0.000784","52598","443","TCP","66"
"0.001177","0.001177","62280","3478","UDP","571"
"0.000000","0.000000","52598","443","TCP","66"
"0.008150","0.008150","","","ICMPv6","110"
"0.003053","0.003053","62280","3478","UDP","149"
"0.000000","0.000000","50224","19305","STUN","188"
"0.006293","0.006293","52598","443","TLSv1.3","130"
"0.002118","0.002118","52598","443","TCP","1494"
"0.000000","0.000000","52598","443","TLSv1.3","98"
